QUESTION: How long did you usually think about/plan before buying fashion and accessories from a premium/luxury brand?
answer,Female,Male,country
I don't know,7,3,4,0,4,uk
It was a spontaneous purchase,34,45,46,9,15,germany
A couple of days,24,35,34,6,6,germany
Up to a week,25,27,24,4,3,germany
Up to a month,12,12,19,4,4,germany
Up to 3 months,6,11,8,2,0,germany
Longer than 3 months,4,6,5,0,1,germany
Differs every time,9,12,16,1,1,germany
I don't know,5,4,2,3,5,germany
It was a spontaneous purchase,17,35,30,14,13,italy
A couple of days,25,40,46,11,11,italy
Up to a week,14,43,26,8,11,italy
Up to a month,13,22,18,4,2,italy
Up to 3 months,6,10,9,1,1,italy
Longer than 3 months,0,6,0,1,0,italy
Differs every time,5,11,10,1,6,italy
I don't know,6,4,4,0,2,italy
It was a spontaneous purchase,18,24,25,7,10,france
A couple of days,24,36,33,7,8,france
Up to a week,13,19,13,2,4,france
Up to a month,18,25,20,1,2,france
Up to 3 months,5,9,4,0,0,france
Longer than 3 months,1,2,0,0,1,france
Differs every time,6,17,4,1,3,france
I don't know,8,4,1,0,2,france




"QUESTION: Before buying your last piece of jewelry from a premium/luxury brand,  how long did you think about it?"
answer,Female,Male,country
It was a spontaneous purchase,35,23,uk
Up to two weeks,34,24,uk
Up to a month,61,64,uk
Up to three months,31,30,uk
Up to six months,11,6,uk
Over a year,4,9,uk
Don't know,9,5,uk
It was a spontaneous purchase,46,34,germany
Up to two weeks,45,38,germany
Up to a month,32,31,germany
Up to three months,16,12,germany
Up to six months,8,4,germany
Over a year,3,1,germany
Don't know,8,3,germany
It was a spontaneous purchase,40,33,italy
Up to two weeks,61,63,italy
Up to a month,41,48,italy
Up to three months,25,14,italy
Up to six months,5,11,italy
Over a year,5,3,italy
Don't know,15,9,italy
It was a spontaneous purchase,35,27,france
Up to two weeks,22,25,france
Up to a month,37,39,france
Up to three months,19,19,france
Up to six months,7,13,france
Over a year,5,2,france
Don't know,11,2,france


answer,Traditionals & Baby Boomer (1922-1964),Generation X (Baby Bust) (1965-1979),Millennials / Generation Y (1980-1994),iGen / Gen Z (1995-2012),country
It was a spontaneous purchase,3,18,21,16,uk
Up to two weeks,2,6,31,19,uk
Up to a month,7,35,62,21,uk
Up to three months,5,15,25,16,uk
Up to six months,1,2,10,4,uk
Over a year,0,2,6,5,uk
Don't know,1,5,8,0,uk
It was a spontaneous purchase,17,21,22,20,germany
Up to two weeks,5,16,29,33,germany
Up to a month,7,15,24,17,germany
Up to three months,3,3,13,9,germany
Up to six months,0,1,3,8,germany
Over a year,1,0,0,3,germany
Don't know,0,4,4,3,germany
It was a spontaneous purchase,6,22,30,15,italy
Up to two weeks,13,39,47,25,italy
Up to a month,5,28,37,19,italy
Up to three months,3,10,17,9,italy
Up to six months,0,4,8,4,italy
Over a year,0,4,2,2,italy
Don't know,4,8,8,4,italy
It was a spontaneous purchase,3,17,28,14,france
Up to two weeks,4,6,20,17,france
Up to a month,6,19,27,24,france
Up to three months,5,7,18,8,france
Up to six months,0,4,12,4,france
Over a year,0,2,0,5,france
Don't know,2,3,5,3,france


answer,Up to   22 800,  22 800 up to   43 200,  43 200 up to   98 400,  98 400 and more,Prefer not to say,country
It was a spontaneous purchase,16,17,16,4,5,uk
Up to two weeks,15,20,18,3,2,uk
Up to a month,22,39,52,7,5,uk
Up to three months,7,28,23,2,1,uk
Up to six months,4,4,5,3,1,uk
Over a year,4,4,2,2,1,uk
Don't know,3,3,3,1,4,uk
It was a spontaneous purchase,15,23,29,7,6,germany
Up to two weeks,17,15,40,5,6,germany
Up to a month,11,21,23,5,3,germany
Up to three months,4,10,11,2,1,germany
Up to six months,1,2,7,1,1,germany
Over a year,1,2,1,0,0,germany
Don't know,1,2,1,1,6,germany
It was a spontaneous purchase,10,24,20,10,9,italy
Up to two weeks,18,39,41,18,8,italy
Up to a month,12,28,35,7,7,italy
Up to three months,8,17,8,4,2,italy
Up to six months,4,6,4,1,1,italy
Over a year,3,4,1,0,0,italy
Don't know,3,8,5,0,8,italy
It was a spontaneous purchase,16,21,17,3,5,france
Up to two weeks,13,15,14,4,1,france
Up to a month,14,22,28,9,3,france
Up to three months,9,19,4,3,3,france
Up to six months,1,8,10,1,0,france
Over a year,2,3,2,0,0,france
Don't know,4,5,1,0,3,france




"QUESTION: Before buying your last watch from a premium/luxury brand,  how long did you think about it?"
answer,Female,Male,country
It was a spontaneous purchase,19,28,uk
Up to two weeks,18,36,uk
Up to a month,40,72,uk
Up to three months,14,35,uk
Up to six months,9,16,uk
Over a year,4,4,uk
Don't know,4,8,uk
It was a spontaneous purchase,31,39,germany
Up to two weeks,20,39,germany
Up to a month,19,39,germany
Up to three months,14,17,germany
Up to six months,2,8,germany
Over a year,5,8,germany
Don't know,7,6,germany
It was a spontaneous purchase,23,36,italy
Up to two weeks,32,48,italy
Up to a month,28,47,italy
Up to three months,14,30,italy
Up to six months,2,10,italy
Over a year,4,5,italy
Don't know,9,5,italy
It was a spontaneous purchase,25,32,france
Up to two weeks,15,31,france
Up to a month,26,32,france
Up to three months,6,23,france
Up to six months,10,9,france
Over a year,2,10,france
Don't know,8,7,france


answer,Traditionals & Baby Boomer (1922-1964),Generation X (Baby Bust) (1965-1979),Millennials / Generation Y (1980-1994),iGen / Gen Z (1995-2012),country
It was a spontaneous purchase,7,14,18,8,uk
Up to two weeks,3,12,21,18,uk
Up to a month,7,26,57,22,uk
Up to three months,8,6,22,13,uk
Up to six months,0,8,11,6,uk
Over a year,1,4,3,0,uk
Don't know,0,5,4,3,uk
It was a spontaneous purchase,7,21,27,15,germany
Up to two weeks,6,13,19,21,germany
Up to a month,5,13,24,16,germany
Up to three months,2,10,14,5,germany
Up to six months,1,1,2,6,germany
Over a year,0,3,2,8,germany
Don't know,3,2,6,2,germany
It was a spontaneous purchase,6,25,22,6,italy
Up to two weeks,10,26,27,17,italy
Up to a month,13,13,35,14,italy
Up to three months,3,12,22,7,italy
Up to six months,1,3,6,2,italy
Over a year,0,3,4,2,italy
Don't know,2,8,4,0,italy
It was a spontaneous purchase,5,18,22,12,france
Up to two weeks,2,15,19,10,france
Up to a month,4,7,28,19,france
Up to three months,4,4,11,10,france
Up to six months,0,6,8,5,france
Over a year,0,5,4,3,france
Don't know,1,6,6,2,france


answer,Up to   22 800,  22 800 up to   43 200,  43 200 up to   98 400,  98 400 and more,Prefer not to say,country
It was a spontaneous purchase,12,13,17,3,2,uk
Up to two weeks,9,19,23,1,2,uk
Up to a month,19,32,47,10,4,uk
Up to three months,11,16,16,5,1,uk
Up to six months,3,8,11,1,2,uk
Over a year,1,4,1,0,2,uk
Don't know,2,3,5,1,1,uk
It was a spontaneous purchase,17,15,20,13,5,germany
Up to two weeks,12,16,25,4,2,germany
Up to a month,6,23,21,6,2,germany
Up to three months,5,6,16,2,2,germany
Up to six months,0,5,4,1,0,germany
Over a year,2,5,5,0,1,germany
Don't know,4,3,2,1,3,germany
It was a spontaneous purchase,9,20,18,9,3,italy
Up to two weeks,13,24,33,7,3,italy
Up to a month,3,30,27,11,4,italy
Up to three months,4,12,20,7,1,italy
Up to six months,1,5,5,0,1,italy
Over a year,4,2,2,1,0,italy
Don't know,4,2,5,0,3,italy
It was a spontaneous purchase,16,20,16,3,2,france
Up to two weeks,7,12,21,5,1,france
Up to a month,11,21,18,5,3,france
Up to three months,7,10,11,1,0,france
Up to six months,5,5,7,0,2,france
Over a year,3,4,3,2,0,france
Don't know,8,2,2,0,3,france
